SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,ZRLeafCN,ZRFineRootCN,ZRWoodCN,ZRCoarseRootCN,ZRFoliageLitterCN,ZRMaximumANPP,KMLeafCN,KMFineRootCN,KMWoodCN,KMCoarseRootCN,KMFoliageLitterCN,KMMaximumANPP
PinuEnch,1,FALSE,2848.4,5378.22,-1,0.385,2,TRUE,0.255,0.2,0.35,0.35,75,50,346,170,100,450,32000,50,50,346,170,100,375,78,52,637,101,66,390
PinuPung,1,FALSE,1858.5,3463.25,-7,0.307,3,TRUE,0.255,0.2,0.35,0.35,75,50,380,170,100,480,32000,50,50,380,170,100,400,78,52,637,101,66,390
PinuRigi,1,FALSE,1921.9,3695.14,-7,0.307,3,TRUE,0.255,0.2,0.35,0.35,75,50,380,170,100,480,32000,50,50,380,170,100,400,78,52,637,101,66,390
PinuStro,1,FALSE,1428,4044.54,-3,0.226,2,FALSE,0.263,0.225,0.3104,0.204,75,43,398,170,100,480,32000,50,43,398,170,100,400,78,52,637,101,66,390
PinuVirg,1,FALSE,1910,4638.61,-7,0.285,1,FALSE,0.251,0.23,0.23,0.23,75,48,380,170,100,480,32000,50,48,380,170,100,400,78,52,637,101,66,390
PrunSero,2,FALSE,1534.72,5993,-10,0.3,1,TRUE,0.175,0.27,0.2,0.251,27,25,108,49,65,180,20000,18,25,108,49,65,150,48,54,144,108,66,282.1
QuerAlba,2,FALSE,1721,5537,-12,0.33,1,TRUE,0.175,0.27,0.2,0.251,27,25,100,50,30,240,32000,18,25,100,50,30,200,48,32,272,84,38,325
QuerCocc,2,FALSE,1972.44,4571,-7,0.286,1,TRUE,0.262,0.23,0.23,0.23,27,25,100,50,30,240,32000,18,25,100,50,30,200,48,32,272,84,38,325
QuerFalc,2,FALSE,2660,5993,2,0.423,1,FALSE,0.293,0.23,0.23,0.23,15,25,100,50,30,180,32000,10,25,100,50,30,150,48,32,272,84,38,325
QuerPrin,2,FALSE,1260,6600,-18,0.23,1,FALSE,0.183,0.334,0.125,0.312,27,25,100,50,30,240,32000,18,25,100,50,30,200,48,32,272,84,38,325
QuerRubr,2,FALSE,1100,4571,-17,0.225,1,TRUE,0.249,0.334,0.225,0.303,27,25,100,50,30,240,32000,18,25,100,50,30,200,48,32,192,84,36,325
QuerVelu,2,FALSE,1810,5076,-10,0.3,1,TRUE,0.336,0.255,0.255,0.255,27,25,100,50,30,300,32000,18,25,100,50,30,250,48,32,272,84,38,325
RobiPseu,2,TRUE,1910,4895.91,-2,0.3,1,FALSE,0.336,0.255,0.255,0.255,38,45,90,90,55,180,20000,25,45,90,90,55,150,48,54,144,108,66,282.1
SassAlid,2,FALSE,1910,6489.66,-2,0.3,1,TRUE,0.336,0.255,0.255,0.255,15,25,50,25,25,90,20000,10,25,50,25,25,75,36,54,144,108,66,149.5
TiliAmer,3,FALSE,1535.46,4976.08,-17,0.2,1,TRUE,0.17,0.334,0.2,0.31,75,26,417,50,35,360,15000,50,26,417,50,35,300,54,48,144,96,54,260
TiliAmhe,3,FALSE,2172.28,5025.88,-17,0.2,1,TRUE,0.17,0.334,0.2,0.31,75,26,417,50,35,360,15000,50,26,417,50,35,300,54,48,144,96,54,260
